provincia,localidad,nombre,direccion,denominacion_especifica,jurisdiccion _declaratoria,fecha_de_inauguracion,decreto_o_ley,numero_de_decreto_o_ley,,,
Buenos Aires,Bahía Blanca,Club Argentino,Avenida Colón 67,Monumento Histórico,Nacional,8/1/2001,Decreto,12,,,
Buenos Aires,Bahía Blanca,Edificio de Correos y Telégrafos,Vicente López y Moreno,Monumento Histórico,Nacional,24/10/1997,Decreto,1110,,,
Buenos Aires,Bahía Blanca,Elevadores de Granos Nros. 3 y 4 del conjunto de la ex Junta Nacional de Granos del Puerto de Ingeniero White,Carreaga 3900,Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Estación Spurr,Tierra del Fuego s/n y Esmeralda s/n,Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Estación Sur (Ex Terminal Bahía Blanca del Ex Ferrocarril Sur),"Avenida General Daniel Cerri, calle Montevideo, Avenida Falucho, Avenida Parchapp y calle Darwin",Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Ex hotel de Inmigrantes,Saavedra 951 esquina Ing. Luiggi,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Bahía Blanca,"Ex Mercado de Concentración de Lanas, Frutos y Cueros “Victoria”",Donado 1020,Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Ex sede del Banco de la Provincia de Bs. As.,Alsina 45,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Bahía Blanca,Ex Usina Ferroviaria y Talleres Anexos,"Donado Nº 1079, esquina Brickman 180",Monumento Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Fortaleza Protectora Argentina,s/d,Lugar Histórico,Nacional,26/5/1982,Decreto,1035,,,
Buenos Aires,Bahía Blanca,Palacio Municipal,Alsina 65 y Belgrano 54,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Bahía Blanca,Plaza Rivadavia,"Entre las calles Zelarrayán - San Martín, Alsina, Estomba - Chiclana y Sarmiento",Lugar Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Bahía Blanca,Puente Ferroviario Colón,s/d,Bien de Interés Histórico,Nacional,19/11/2014,Decreto,2181,,,
Buenos Aires,Bahía Blanca,Teatro Municipal,Alsina 425,Monumento Histórico,Nacional,21/6/2011,Decreto,837,,,
Buenos Aires,Bahía Blanca - Ingeniero White,Usina General San Martín,"Ruta Nacional 252, acceso a Puertos",Monumento Histórico,Nacional,11/4/2002,Ley,25580,,,
Buenos Aires,Balcarce,Matadero Municipal,Avenida Eva Perón entre las calles Nros. 116 y 118,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Balcarce,Plaza Libertad,"Calles Nros. 15, 16, 17 y 18",Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Banfield,"Quinta ""Los Leones""",Alvear 920,Monumento Histórico,Nacional,9/10/2007,Decreto,1380,,,
Buenos Aires,Baradero,Domingo de Oro,Cementerio de Baradero,Sepulcro,Nacional,29/11/1950,Decreto,25403,,,
Buenos Aires,Benito Juárez,Casco de la Estancia El Sol Argentino,A 20 Km de la Ruta Provincial Nº 86 y a 30 Km de la localidad de Benito Juárez,Monumento Histórico,Nacional,20/3/1997,Decreto,262,,,
Buenos Aires,Berisso,Calle Nueva York,s/d,Lugar Histórico,Nacional,27/6/2005,Decreto,735,,,
Buenos Aires,Bernal,Quinta de Santa Coloma,Gral. Roca 833,Monumento Histórico,Nacional,10/12/1945,Decreto,30838,,,
Buenos Aires,Bolívar,Combate de San Carlos,s/d,Lugar Histórico,Nacional,13/7/1943,Decreto,2478,,,
Buenos Aires,Cacharí,Delegación Municipal,Belgrano 1663,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Cañuelas,Casco de la Estancia San Martín de Vicente Casares,"Ubicada en el Km 50,5 de la Ruta Provincial Nº 205",Monumento Histórico,Nacional,20/3/1997,Decreto,262,,,
Buenos Aires,Cañuelas,"Estancia ""La Caledonia""","Dentro del límite del Cuartel 6°. Por Ruta 6, a 5 km de la intersección con la Ruta Provincial N°205",Monumento Histórico,Nacional,14/8/1979,Decreto,2015,,,
Buenos Aires,Capilla del Señor,Pueblo de Capilla del Señor,s/d,Bien de Interés Histórico,Nacional,21/9/1994,Decreto,1648,,,
Buenos Aires,Carhué,Cruz del Cementerio ubicada en el Balneario “El Cristo”,Balneario “El Cristo”,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Carhué,Matadero Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Carhué,Palacio Municipal,Rivadavia y Carlos Pellegrini,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Carlos Casares,Fuerte Gral. Paz o Comandancia,s/d,Lugar Histórico,Nacional,23/5/1983,Decreto,1237,,,
Buenos Aires,Carmen de Patagones,Antigua vivienda del vecino fundador Bernardo Bartuille - Casa de la Cultura de la Ciudad de Carmen de Patagones,Mitre y Comodoro Rivadavia,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Antiguo Fuerte de Nuestra Señora del Carmen y su Plaza de Armas,"Entre las calles 7 de Marzo, Bynn, Dr. Baraja y Olivera",Lugar Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,"Archivos conservados en el Museo Histórico Regional ""Emma Nozzi"" del Banco de la Provincia de Buenos Aires",José Juan Biedma 62/64,Bien de Interés Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Casa de Andrés García,Mitre y Bynon,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Casa de Mitre - Rancho de Rial (c/ su cueva maragata anexa),Mitre 94,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,"Casa histórica ""La Carlota"" - Anexo del Museo Histórico Regional ""Emma Nozzi""",Mitre y Bynon,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,"Casa Histórica del Banco de la Provincia de Buenos Aires - sede de Museo Histórico Regional ""Emma Nozzi"" (c/ su cueva maragat anexa) (Antigua casa de la Real Hacienda - capilla Vieja - ex sede de la firma Aguirre y Murga y del colegio salesiano de Santa",José Juan Biedma 62/64,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Casa Natal del Comandante Luis Piedrabuena,Calle Roca y la ribera del Río Negro,Lugar Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Casa particular de Ambrosio Mitre y familia,"Harosteguy S/N, entre Villegas y Zambonini",Lugar Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,"Casa que perteneció al cardenal Juan Cagliero - Anexo del Museo Histórico Regional ""Emma Nozzi"" del Banco de la Provincia de Buenos Aires",José Juan Biedma 56/58,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Cerro de la Caballada,s/d,Lugar Histórico,Nacional,17/10/1960,Decreto,12641,,,
Buenos Aires,Carmen de Patagones,Iglesia Parroquial Nuestra Señora del Carmen,Comodoro Rivadavia 175,Monumento Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Luis Piedrabuena,Iglesia Parroquial Nuestra Señora del Carmen,Sepulcro,Nacional,12/6/1962,Decreto,5407,,,
Buenos Aires,Carmen de Patagones,Torre de la Capilla del Fuerte,"Calle Dr. Baraja, vereda este - Calle Olivera, vereda norte y Comodoro Rivadavia.",Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,Carmen de Patagones,Traza urbana de Carmén de Patagones (en su calidad de poblado histórico),s/d,Bien de Interés Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Trofeos de la heróica acción del 7 de Marzo de 1827 (Iglesia Parroquial Nuestra Señora del Carmen),Comodoro Rivadavia 175,Bien de Interés Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Carmen de Patagones,Vivienda familiar del Comodoro Martín Rivadavia - Actual sucursal Patagones del Banco de la Provincia de Buenos Aires,Comodoro Rivadavia y Alsina,Lugar Histórico,Nacional,21/7/2003,Decreto,401,,,
Buenos Aires,Casbas,Delegación Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Chapadmalal,Complejo Unidad Turística,s/d,Monumento Histórico,Nacional,24/6/2013,Decreto,784,,,
Buenos Aires,Chascomús,Caídos en la Batalla de Chascomús (Mausoleo),s/d,Sepulcro,Nacional,9/10/1939,Ley,12622,,,
Buenos Aires,Chascomús,Capilla de los Negros,s/d,Lugar Histórico,Nacional,22/6/1962,Decreto,5674,,,
Buenos Aires,Chascomús,Palacio Municipal,Calle Cramer entre las calles Mitre y Sarmiento,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Chillar,Delegación Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Chillar,Matadero Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Chivilcoy,Casco de la Estancia La Rica,s/d,Monumento Histórico,Nacional,8/3/2010,Decreto,332,,,
Buenos Aires,Chivilcoy,Estatua de Carlos Pellegrini,Plaza 25 de Mayo,Bien de Interés Artístico,Nacional,8/3/2010,Decreto,332,,,
Buenos Aires,Chivilcoy,Palacio Municipal,25 de Mayo Nº 25,Monumento Histórico,Nacional,8/3/2010,Decreto,332,,,
Buenos Aires,Chivilcoy,Plaza 25 de Mayo,"Entre las calles 25 de Mayo, San Martín, Moreno e H. Yrigoyen",Lugar Histórico,Nacional,8/3/2010,Decreto,332,,,
Buenos Aires,Chivilcoy,Templo Nuestra Sra. del Rosario - Parroquia de San Pedro Apóstol,9 de Julio Nº 40,Monumento Histórico,Nacional,8/3/2010,Decreto,332,,,
Buenos Aires,Ciudadela,Cuarteles de Ciudadela (actual Museo Histórico Ejército Argentino),"Comesaña, Reconquista, Pellegrini y Campo de ejercicios del RC Nº8",Bien de Interés Histórico,Nacional,20/8/1996,Decreto,974,,,
Buenos Aires,Cnel. Rosales y Monte Hermoso,"Reserva Geológica, Paleontológica y Arqueológica Provincial Pehuen-Co",s/d,Lugar Histórico,Nacional,22/12/2015,Ley,27220,,,
Buenos Aires,Coronel Pringles,Conjunto integrado por la Plaza Juan Pascual Pringles y el Palacio Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Coronel Pringles,Cruz del Cementerio,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Coronel Pringles,Matadero Municipal,Calle Manuel Belgrano y boulevard José Hernández,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Delta del Paraná,Solar y casa que habito D.F.Sarmiento (Río Paraná),Isla del Delta,Lugar Histórico,Nacional,8/6/1966,Decreto,4370,,,
Buenos Aires,Dolores,Pirámide de los Libres del Sur,Plaza Castelli,Monumento Histórico,Nacional,9/10/1939,Ley,12621,,,
Buenos Aires,El Dorado,Delegación Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,El Palomar,"Club Sitas, Sociedad Italiana del Tiro al Blanco, “Societa Italiana di Tiro a Segno”",Avenida Marconi 1225,Bien de Interés Histórico,Nacional,22/7/2014,Decreto,1163,,,
Buenos Aires,El Palomar,Ex Centro Clandestino de Detención “El Chalet”,"Hospital Nacional ""Alejandro Posadas""",Lugar Histórico,Nacional,10/8/2015,Decreto,1616,,,
Buenos Aires,Ensenada,Club de Regatas La Plata,Arroyo Doña Flora y Río Santiago,Bien de Interés Histórico,Nacional,22/7/2014,Decreto,1163,,,
Buenos Aires,Ensenada,Fuerte de Barragán,Av. Almirante Brown y Camino Regatas,Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,Ensenada,Puente ferroviario giratorio,s/d,Monumento Histórico,Nacional,19/11/2014,Decreto,2183,,,
Buenos Aires,Ensenada,Puente ferroviario giratorio - área de amortiguación visual,s/d,Bien de interés histórico,Nacional,19/11/2014,Decreto,2183,,,
Buenos Aires,Ezeiza,"Hangares Nº 3 y 4 del Aeropuerto ""Ministro Pistarini""",Km 32 Autopista Ricchieri,Monumento Histórico,Nacional,21/10/2009,Decreto,1536,,,
Buenos Aires,Ezeiza,Hogar Escuela Evita,Autopistas Ricchieri y Jorge Newbery,Monumento Histórico,Nacional,3/11/2015,Decreto,2297,,,
Buenos Aires,Florida,Casa de la Memoria y la Resistencia Jorge “Nono” Lizaso,Avenida Mitre 1985,Lugar Histórico,Nacional,5/3/2015,Decreto,379,,,
Buenos Aires,Garré,Delegación Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,General Cerri,Fortín Cuatreros,"En los alrededores de la Ciudad de Bahía Blanca, cercano a la Ruta Nacional N°3",Monumento Histórico,Nacional,7/6/1944,Decreto,14119,,,
Buenos Aires,General San Martín,Antiguo Gasómetro,Av. Constituyentes y Gral. Paz,Bien de Interés Histórico,Nacional,21/10/2009,Decreto,1536,,,
Buenos Aires,Glew,Iglesia Santa Ana,Aristóbulo del Valle y Moreno,Bien de Interés Histórico,Nacional,7/12/1994,Ley,24413,,,
Buenos Aires,Gonnet,República de los Niños,s/d,Monumento Histórico,Nacional,28/11/2001,Ley,25550,,,
Buenos Aires,Guaminí,Comandancia de la Frontera Oeste,s/d,Lugar Histórico,Nacional,8/8/1983,Decreto,1983,,,
Buenos Aires,Guaminí,Conjunto integrado por la Plaza Alsina y el Palacio Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Guaminí,Matadero Municipal,Boulevard Freyre y las vías del ferrocarril,Monumento Histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Hurlingham,"Colegio E.P. Nº 2 ""Pablo A. Pizzurno""",Sargento Gómez Nº 1561/63,Bien de interés Histórico Nacional,Nacional,11/5/2015,Decreto,797,,,
Buenos Aires,Ingeniero Maschwitz,Casco de la Estancia Villanueva (Instituto Ntra. Señora de Fátima),s/d,Monumento Histórico,Nacional,30/11/2000,Ley,25376,,,
Buenos Aires,Isla Martín García,Antiguo faro de la Armada Argentina,Calle Rosales 058,Monumento Histórico,Nacional,31/10/2011,Decreto,1741,,,
Buenos Aires,Isla Martín García,Antiguo penal naval militar,s/d,Bien de interés histórico nacional,Nacional,31/10/2011,Decreto,1741,,,
Buenos Aires,Isla Martín García,Cementerio,s/d,Bien de interés histórico artístico nacional,Nacional,31/10/2011,Decreto,1741,,,
Buenos Aires,Isla Martín García,"Cine Teatro ""General Urquiza""",Espora 164,Bien de interés histórico nacional,Nacional,31/10/2011,Decreto,1741,,,
Buenos Aires,Isla Martín García,Isla Martín García,s/d,Lugar Histórico,Nacional,15/4/1958,Decreto,4718,,,
Buenos Aires,La Matanza,Chacra de los Tapiales,"Dentro del predio del Mercado Central, por Autopista Tte. Gral. Ricchieri",Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,La Matanza,Ciudad Evita,s/d,Lugar Histórico,Nacional,24/10/1997,Decreto,1110,,,
Buenos Aires,La Matanza,Estancia del Virrey del Pino,"Ruta Nac. 3, a la altura del km. 40 y Calle Máximo Herrera",Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,La Plata,Casa Curutchet,"Avenida 53, entre 1 y 2",Monumento Histórico,Nacional,30/12/1987,Resolución SC,2335,,,
Buenos Aires,La Plata,Casa de Ricardo Balbín,Calle 49 844,Monumento Histórico,Nacional,12/11/1993,Decreto,2334,,,
Buenos Aires,La Plata,Casa Mariani - Teruggi,Calle 30 1134 entre 55 y 56,Monumento Histórico,Nacional,8/7/2004,Decreto,848,,,
Buenos Aires,La Plata,Casa que Habito Pedro B.Palacios (Almafuerte),Av 66 530/32,Monumento Histórico,Nacional,2/2/1961,Decreto,932,,,
Buenos Aires,La Plata,Casco urbano fundacional de la Ciudad de La Plata,s/d,Bien de Interés Histórico,Nacional,11/11/1999,Decreto,1308,,,
Buenos Aires,La Plata,Edificio lindero Casa Curutchet (Av. 53 Nº 318),Av. 53 318 entre 2 y 54,Monumento Histórico,Nacional,13/7/2006,Decreto,890,,,
Buenos Aires,La Plata,Edificio lindero Casa Curutchet (Av. 53 Nº 324),Av. 53 324 entre 2 y 54,Monumento Histórico,Nacional,13/7/2006,Decreto,890,,,
Buenos Aires,La Plata,Florentino Ameghino,Cementerio de La Plata,Sepulcro,Nacional,31/12/1980,Decreto,2755,,,
Buenos Aires,La Plata,Museo de Ciencias Naturales,Paseo del Bosque,Monumento Histórico,Nacional,24/10/1997,Decreto,1110,,,
Buenos Aires,La Plata,Teatro Coliseo Podestá,Calle 10 733,Monumento Histórico,Nacional,21/6/2011,Decreto,837,,,
Buenos Aires,La Plata,Templo de San Francisco de Asis,Calle 12 1773,Lugar Histórico,Nacional,12/10/2011,Decreto,1617,,,
Buenos Aires,Laguna Alsina,Delegación Municipal de Bonifacio,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Lanús,"Coche Dinamométrico 0 - 153, propiedad del Estado Nacional y cedido en custodia al Ferroclub Argentino",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Coche Oficial 0 - 261, propiedad del Estado Nacional y cedido en custodia al Ferroclub Argentino",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Coche Reservado Familiar Clase R - 5, identificado como RF - 6505, propiedad del Estado Nacional y cedido en custodia al Ferroclub Argentino",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Coche Restaurante Clase K - 5, identificado como R - 6717, propiedad el Estado Argentino y cedido en custodia al Ferroclub Argentino.",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Edificio de la nave principal, también denominado ""Sección 43"", emplazado en el predio de los Talleres Remedios de Escalada del Ferrocarril Gral. Roca",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Locomotora a Vapor Clase 11 B, identificada con el número 4116, propiedad del Estado Nacional y cedida en custodia al Ferroclub Argentino.",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Lanús,"Locomotora Diesel Baldwin número 5037, propiedad del Estado Nacional y cedida en custodia al Ferroclub Argentino.",Talleres Remedios de Escalada del Ferrocarril General Roca,Bien de Interés Histórico,Nacional,1/10/2008,Decreto,1576,,,
Buenos Aires,Laprida,Conjunto integrado por la Plaza Pedro Pereyra y el Palacio Municipal,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Laprida,Matadero Municipal,Avenida San Martín y Circunvalación,Bien de interés histórico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Laprida,Portal del Cementerio,s/d,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,Lobos,Casa natal del Presidente de la Nación Juan Domingo Perón,Presidente Juan Domingo Perón 1380,Monumento Histórico,Nacional,21/12/2001,Ley,25518,,,
Buenos Aires,Lobos,Club Social (antigua sede de la Sociedad Orfeón Lobense),Salgado s/n y Pte. Juan Domingo Perón,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lobos,Iglesia Parroquial de Nuestra Señora del Carmen,Salgado esquina Presbítero Albertini (ex Arenalez),Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lobos,Palacio Municipal,Salgado entre Presbítero Albertini y Pte. Juan Domingo Perón,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lobos,"Plaza ""1810""","Entre las calles Buenos Aires, Salgado, Belgrano y 25 de Mayo",Lugar Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lomas de Zamora,"Conjunto formado por la Iglesia Catedral y Basílica de Nuestra Señora de la Paz, la sede Parroquial (ex Instituto ""Presbítero Dr. Antonio Sáenz"") y la casa Parroquial",Respectivamente: Sáenz s/n,-34.75813889,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos (CNMLBH)",s/d,Nacional,10/8/2004,Decreto,1020,
Buenos Aires,Lomas de Zamora,Escuela de Agronomía y Veterinaria en Sta. Catalina,Paraje Santa Catalina,Lugar Histórico,Nacional,1/2/1961,Decreto,877,,,
Buenos Aires,Lomas de Zamora,"Escuela N° 1 ""Bartolomé Mitre"" (ex escuela común N° 1)",Sáenz 450 esquina Manuel Castro,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lomas de Zamora,Monumento ecuestre al Gral. San Martín,"Plaza ""Victorio Grigera""",Bien de Interés Histórico Artístico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lomas de Zamora,Museo Americanista,Manuel Castro 252/254,Monumento Histórico,Nacional,13/3/2007,Decreto,216,,,
Buenos Aires,Lomas de Zamora,Palacio Municipal,Manuel Castro 220,Monumento Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lomas de Zamora,"Plaza ""Victorio Grigera""","Entre la Av. Hipólito Yrigoyen y las calles Sáenz, Manuel Castro y Portela",Lugar Histórico,Nacional,10/8/2004,Decreto,1020,,,
Buenos Aires,Lomas de Zamora,"Sector del trazado urbano comprendido entre las calles Azara, Portela, Rivera, Manuel Castro, Portela, Av. H. Yrigoyen, Boedo y Manuel Castro.","Calles Azara, Portela, Rivera, Manuel Castro, Portela, Av. H. Yrigoyen, Boedo y Manuel Castro",Bien de Interés Histórico,Nacional,13/3/2007,Decreto,216,,,
Buenos Aires,Lomas de Zamora,"Sociedad de Educación y Biblioteca Popular ""Antonio Mentruyt""",Italia Nº 44,Monumento Histórico,Nacional,2/10/2008,Decreto,1592,,,
Buenos Aires,Los Pinos,Delegación Municipal,Calle principal sin número frente a la plaza principal,Bien de Interés Histórico y Artístico,Nacional,21/7/2014,Decreto,1138,,,
Buenos Aires,"Los Toldos, General Viamonte",Casa donde pasara parte de su infancia María Eva Duarte de Perón,Francia S/N,Monumento Histórico,Nacional,1/8/2002,Ley,25631,,,
Buenos Aires,Luján,Basílica de Luján. Santuario del Arzobispado de Mercedes-Luján,"9 de Julio, B Mitre, Pdre. JM Salvaire y San Martín",Monumento Histórico,Nacional,12/3/1998,Decreto,283,,,
Buenos Aires,Luján,Cabildo de la ciudad de Lujan,Torrezuri 917 (y Lezica),Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,Luján,Casa de los Ameghino,Las Heras 466,Monumento Histórico,Nacional,15/5/2007,Decreto,513,,,
Buenos Aires,Luján,Casa de Pepa Galarza,Lezica de Torrezuri 881,Monumento Histórico,Nacional,15/5/2007,Decreto,513,,,
Buenos Aires,Luján,Casa del Virrey Sobremonte,Lezica y Torrezuri 917,Monumento Histórico,Nacional,21/5/1942,Decreto,120411,,,
Buenos Aires,Luján,"Columna en homenaje al Gral. Manuel Belgrano emplazada en el Complejo Museográfico ""Enrique Udaondo""",s/d,Bien de Interés Histórico Artístico,Nacional,15/5/2007,Decreto,513,,,
