categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,fuente,jurisdiccion,año_inauguracion,IDSInCA
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,,6430,2936,430 967,museocarhue@invertel.com.ar,,DNPyM,Municipal,1967,300092
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,,B8504BVB,2920,462 729,,,DNPyM,Provincial,1951,300094
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,,B8504BUF,2920,461 742,,,DNPyM,Nacional,1998,300095
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),,E3262AZR,3442,432 620,,,DNPyM,Nacional,1936,300099
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,,B6740EGC,2352,426 699,,,DNPyM,Municipal,,300108
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,,5857,223,469 9291,,,DNPyM,Nacional,,300114
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,,B7130FRA,2241,430 982,,,DNPyM,Municipal,1941,300116
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,,B6620HBG,2346,422 113,culturachivilcoy@hotmail.com,,DNPyM,Municipal,1962,300119
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,,B6620FKC,2346,422 185,,,DNPyM,Municipal,1943,300120
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,,B6620FKC,2346,422 185,,,DNPyM,Municipal,1973,300121
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,,B1702BDV,11,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,DNPyM,Nacional,1993,300262
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,,7505,2982,480 213,museoclaromeco@gimeil.com,,DNPyM,Provincial,2007,300263
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,,B1980EIT,2223,344 5628,,,DNPyM,Privada,2002,300307
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,,B8150CSK,2921,409 228,,,DNPyM,Municipal,1969,300308
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,,B7530DJI,2922,462 680,,,DNPyM,Municipal,,300310
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,,7530,2922,406 2680,,,DNPyM,Municipal,,300311
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,,B7530ALE,2922,463 688,,,DNPyM,Mixta: Privada/Municipal,1909,300312
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,,B7530DJI,2922,462 680,,,DNPyM,Municipal,1909,300313
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,,7530,2922,462 459,,,DNPyM,Privada,1971,300314
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,,B7530DBV,2922,466 166 INT 32,,,DNPyM,Municipal,1986,300315
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,,B7100BIH,2245,442 730,,,DNPyM,Provincial,1940,300330
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,,B7100ADJ,2245,446 276,,,DNPyM,Provincial,1991,300331
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,,B6241AIJ,3388,493 535,bargero@servicoopsa.com.ar,,DNPyM,Municipal,1984,300348
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,,B1925BNS,221,460 2370,,,DNPyM,Privada,,300349
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,,1925,221,469 1642,,,DNPyM,Municipal,1965,300350
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,,1927,221,4317 2396,,,DNPyM,Nacional,1979,300351
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",,1888,2229,497 314,,,DNPyM,Provincial,,300369
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,,1602,11,4760 9138,,,DNPyM,Privada,1975,300370
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,,B1602AYD,11,4796 9556,,,DNPyM,Privada,2001,300371
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,,B7223GUO,,,,,DNPyM,Municipal,2001,300385
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,,B7406AMK,,,,,DNPyM,Municipal,1987,300394
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,,1900,221,424 1596 INT 374,,,DNPyM,Nacional,,300451
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,,B1900TQU,221,417 6795,,,DNPyM,Municipal,,300452
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,,B1904AAO,221,423 6663 INT 424,,,DNPyM,Nacional,,300453
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,,1909,221,450 1214,rimec7@uolsinectis.com.ar,,DNPyM,Nacional,,300454
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,,B1904ASJ,221,427 5631,,,DNPyM,Municipal,1909,300455
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,,B1900AVK,221,421 8619,,,DNPyM,Provincial,1926,300456
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",,1900,221,484 2526,rodinfq@usa.net,,DNPyM,Privada,1966,300457
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,,B1900ADX,221,424 0401,museo azzarini@hotmail.com,,DNPyM,Nacional,1989,300458
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,,B1902CHQ,221,424 4684,,,DNPyM,Privada,1990,300459
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,,B1900TIY,221,424 8457,,,DNPyM,Municipal,1995,300460
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,,B1900ASW,221,427 1843,,,DNPyM,Municipal,2003,300461
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,,B1900TDT,221,422 2510,,,DNPyM,Privada,2004,300462
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,,B1902CGC,221,427 6660,,,DNPyM,Privada,2010,300463
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,,1900,221,423 4910,,,DNPyM,Nacional,1888,300464
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,,B1900ASW,221,423 5033,museomumart@yahoo.com.ar,,DNPyM,Municipal,1905,300465
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,,B1900ATK,,,,,DNPyM,Municipal,1952,300466
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,,B1900DVL,221,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,DNPyM,Provincial,1977,300467
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,,B1900AKQ,221,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,DNPyM,Privada,1980,300468
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,,B1902BBU,221,429 3892,,,DNPyM,Provincial,1994,300469
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",,1900,221,424 6062,,,DNPyM,Nacional,1998,300470
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,,B1904CTG,221,424 2698,,,DNPyM,Privada,1999,300471
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,,1900,221,423 6777,,,DNPyM,Nacional,2001,300472
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",,B1904BTD,221,427 6304,,,DNPyM,Nacional,2004,300473
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,,B1900BDO,221,423 1876,,,DNPyM,Provincial,2007,300474
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",,B7601XAD,223,463 1394,,,DNPyM,Municipal,1964,300489
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,,B6070ACP,2355,421 262,,,DNPyM,Privada,,300514
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,,B7635BWC,2261,442 227,,,DNPyM,Privada,1960,300517
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,,B7240AAJ,2227,422 843,,,DNPyM,,,300518
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",,B6700ANU,2323,420 245,,,DNPyM,Provincial,1927,300522
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de Julio 863,,B6700CDM,2323,420 755,,,DNPyM,Municipal,1963,300523
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,,B7602GAK,223,492 0569,gestion@cultura.mardelplata.cultura.com.ar,,DNPyM,Municipal,,300534
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,,B7600FXE,223,486 1636,,,DNPyM,Municipal,1949,300535
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,,B7600HJB,223,473 8791,,,DNPyM,Municipal,1939,300536
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,,B7602CQV,223,495 1200,,,DNPyM,Municipal,1969,300537
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,,B1727BAG,220,477 1110,,,DNPyM,Privada,1948,300538
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,,B1640ITF,11,4798 1835,,,DNPyM,Privada,1971,300541
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,,X5143BQG,3563,493 621,,,DNPyM,Privada,,300562
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,,X5143BQG,,,,,DNPyM,Privada,,300563
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",,7607,,,,,DNPyM,Municipal,1977,300564
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,,X5143BQD,3563,493078,,,DNPyM,Privada,2000,300565
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",,1842,11,4290 0437,,,DNPyM,Municipal,1984,300568
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",,B8153CMC,2921,482 601,,,DNPyM,Municipal,1977,300569
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,,B1708IFG,11,4629 0969,mensajes@catedraldemoron.org.ar,,DNPyM,,,300574
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,,B1708IPA,11,4629 1456,arteycultura@moron.gov.ar,,DNPyM,Municipal,1955,300575
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,,B1708FEU,11,4697 9780,museonacionalaeronautica@yahoo.com.ar,,DNPyM,Nacional,1962,300576
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Munro,Museo Del Cine Lumiton,Sargento Cabral 2354,,B1605EEH,11,4721 9255,,,DNPyM,Municipal,1905,300578
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Pigüe,Museo Y Archivo De La Ciudad De Pigüé,"Parque Municipal ""Fortunato Chiappara""",,8170,2923,475 001,museopigue@58coopenet.com.ar,,DNPyM,Municipal,1963,300608
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Púan,Museo Municipal Ignacio Balvidares,San Martín y Garay,,8180,2923,498 018,culturapuan@s9.coopenet.com.ar,,DNPyM,Municipal,1977,300624
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Puente Márquez,Museo Orlando Ambrosio Binaghi,Puente de Márquez 1251 y Mendoza,,1742,237,468 5533,,,DNPyM,Privada,1950,300626
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,Laprida y Ricardo Rojas,,B1879BTQ,11,4280 5488,,,DNPyM,Municipal,1967,300644
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo De Artes Visuales Víctor E. Roverano,Rivadavia 498,,B1878KJJ,11,4224 5336,,,DNPyM,Municipal,1975,300645
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Quilmes,Museo Municipal Histórico Fotográfico De Quilmes Gerónima Irma Giles Y Gaetano De Mayol,25 de Mayo 218 Este / Lavalle y Brown,,B1878JZF,11,4253 9162,,,DNPyM,Municipal,1990,300646
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ramallo,Museo Histórico Municipal De Ramallo Hércules J. Rabagliati,Moreno 890,,B2915BNR,3407,422 930,,,DNPyM,Municipal,1994,300657
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ranchos,Museo Histórico De Ranchos Marta Inés Martínez,Leopoldo Casal 3059,,B1987BDO,2241,475 477,museoranchos@yahoo.com.ar,,DNPyM,Municipal,1968,300658
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ranchos,Museo Ferroviario Ranchos,Belgrano y Moreno,,1987,2241,482 002,,,DNPyM,Privada,2003,300659
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Rauch,Museo Municipal De Artes Plásticas Faustino Jorge Bonadeo,Avda. San Martín 155,,B7203BPB,2297,443 249,,,DNPyM,Municipal,1962,300660
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Salliquelo,Museo Gabriel Campomar Cervera,Brasil 455,,B6339AKK,2394,480 672,,,DNPyM,Municipal,1952,300734
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Salto,Museo Rincón De Historia,Oscar Eduardo Quiñones,,2741,2474,424 809,,,DNPyM,Privada,1988,300749
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Andrés,Museo Histórico Regional Brigadier General Don Juan Manuel De Rosas,Diego Pombo 3324,,B1651AFJ,11,4830 0683,,,DNPyM,,,300752
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Museo De Artes Plásticas Juan B. Tapia,Lavalle 363,,B2760BME,2326,456 202,,,DNPyM,Municipal,,300753
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Centro Cultural Y Museo Usina Vieja,Alsina 66,,B2760ACB,2326,456 202,usinavieja@hotmail.com,,DNPyM,Municipal,,300754
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Museo Evocativo Y De Bellas Artes Osvaldo Gasparini,Alvear 521,,B2760ADK,2326,454 243,,,DNPyM,Privada,1969,300755
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Antonio de Areco,Parque Criollo Y Museo Gauchesco Ricardo Güiraldes,Camino Ricardo Güiraldes S/N,,2760,2326,455 839,,,DNPyM,Municipal,1938,300756
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Isidro,Museo Histórico Municipal Brig. Gral. Juan M. Pueyrredón,Rivera Indarte 48,,B1642IFB,11,4512 3131,,,DNPyM,Municipal,1948,300786
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Isidro,Museo Biblioteca Y Archivo Histórico Municipal De San Isidro Dr. Horacio Beccar Varela,Adrián Beccar Varela 774,,B1642DMD,11,4575 4038,,,DNPyM,Municipal,2006,300787
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Justo,Museo Histórico Municipal Rosa Giussani De Piva,9 de Julio 2457,,S3040AGI,3498,420 004,,,DNPyM,Municipal,,300807
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Miguel,Museo Mariposas Del Mundo,Italia 650,,B1663NXN,11,4664 2108,mariposas@newroad.com.ar,,DNPyM,Privada,2000,300824
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Archivo Histórico Municipal Don Gregorio Santiago Chervo,Francia 187,,B2900HVC,3461,422 259,,,DNPyM,Municipal,1975,300839
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Biblioteca De La Casa Del Acuerdo De San Nicolás,De la Nación 139-143,,B2900AAC,3461,421 452,museocasadelacuerdo@intercom.com.ar,,DNPyM,Nacional,1937,300840
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tandil,Museo Municipal De Bellas Artes De Tandil (Mumbat),Chacabuco 357,,B7000AKI,2293,432 067,museotandil@hotmail.com,,DNPyM,Municipal,1941,300908
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tandil,Museo Histórico Fuerte Independencia,4 de Abril 845,,B7000BAI,2293,435 573,museodelfuerte@yahoo.com.ar,,DNPyM,Privada,1967,300909
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tapalqué,Museo Y Centro De Cultura,Avda. Belgrano 225,,B7303BIC,2283,420 551,,,DNPyM,Municipal,1946,300910
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo De La Reconquista,Avda. Liniers y Padre Castañeda,,B1648DAP,11,4512 4496,cultura@tigre.gov.ar,,DNPyM,Municipal,1971,300915
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo Naval De La Nación,Paseo Victorica 602,,B1648DVN,11,4749 0608,museonaval@ara.mil.ar,www.ara.mil.ar,DNPyM,Nacional,1892,300916
Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Tigre,Museo Histórico De La Prefectura Naval Argentina,Avda. Liniers 1264,,B1648DAZ,11,4749 6161,,www.prefecturanaval.edu.ar/museo/,DNPyM,Nacional,1985,300917
